analysis_id	source_analysis_id	source_label	trait_ontology_name	trait_ontology_id	source_file	source_bundle_id	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build
ukb-b-10586	ukb-b-10586	Treatment/medication code: calcichew 1.25g chewable tablet			/local-scratch/data/opengwas/igd/ukb-b-10586/ukb-b-10586.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10591	ukb-b-10591	Chest pain or discomfort			/local-scratch/data/opengwas/igd/ukb-b-10591/ukb-b-10591.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	458012				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10608	ukb-b-10608	PCT where patients GP was registered: NOTTINGHAMSHIRE COUNTY TEACHING PCT			/local-scratch/data/opengwas/igd/ukb-b-10608/ukb-b-10608.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-1061	ukb-b-1061	Age high blood pressure diagnosed			/local-scratch/data/opengwas/igd/ukb-b-1061/ukb-b-1061.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	111148				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10617	ukb-b-10617	Operation code: mammoplasty/cosmetic operation on breast			/local-scratch/data/opengwas/igd/ukb-b-10617/ukb-b-10617.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10623	ukb-b-10623	Diagnoses - main ICD10: D12.5 Sigmoid colon			/local-scratch/data/opengwas/igd/ukb-b-10623/ukb-b-10623.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10629	ukb-b-10629	6mm asymmetry index (left)			/local-scratch/data/opengwas/igd/ukb-b-10629/ukb-b-10629.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	51739				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10640	ukb-b-10640	Sweetened cereal intake			/local-scratch/data/opengwas/igd/ukb-b-10640/ukb-b-10640.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	64949				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10646	ukb-b-10646	Diagnoses - main ICD10: Z09.9 Follow-up examination after unspecified treatment for other conditions			/local-scratch/data/opengwas/igd/ukb-b-10646/ukb-b-10646.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10655	ukb-b-10655	Methods of admission to hospital (recoded): Emergency admission			/local-scratch/data/opengwas/igd/ukb-b-10655/ukb-b-10655.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462498				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
