analysis_id	status	error	attempt	retry_count	source_url	downloaded_bytes	input_rows	retained_rows	retained_fraction	cis_rows	significant_trans_regions	significant_trans_rows	suggestive_leads	output_file	output_bytes	checksum_algorithm	checksum	download_seconds	filter_seconds	total_seconds
GCST90199629	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199629/harmonised/GCST90199629.h.tsv.gz	404190915	15049551	11133	0.00074	0	1	11050	83	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199629_GCST90199629.filtered.tsv.gz	282730	sha256	2c69df5d350c05bd002b6a9992c5040b196f1abb6e961d12321488aa6f858b53	15.2	35.5	50.7
GCST90199630	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199630/harmonised/GCST90199630.h.tsv.gz	401069132	15000791	9493	0.000633	0	1	9417	76	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199630_GCST90199630.filtered.tsv.gz	243469	sha256	0f558a7363ec827bc04bb7c0c4d20b7e4b29f30f15e272f9959fe4ceb7ca0953	4	33.8	37.8
GCST90199631	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199631/harmonised/GCST90199631.h.tsv.gz	404270190	15050813	10984	0.00073	0	1	10919	65	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199631_GCST90199631.filtered.tsv.gz	279238	sha256	5b5854f4dcb9bf451f718305702c1563dade4d63bf74d73ec2fe2da6f04b9081	13.3	35.5	48.7
GCST90199632	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199632/harmonised/GCST90199632.h.tsv.gz	400998988	14996306	24622	0.001642	0	2	24506	116	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199632_GCST90199632.filtered.tsv.gz	628807	sha256	e2200729a60027fc3cc59e8a631a4501969290b63e6c1688abb854f6cc047382	23.8	34.4	58.2
GCST90199633	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199633/harmonised/GCST90199633.h.tsv.gz	400646670	14997324	102	7e-06	0	0	0	102	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199633_GCST90199633.filtered.tsv.gz	3451	sha256	e3076ff2c8ad9b963353d0c86eaef78a22fd3a398d3a66544bbf3d051a6fd98d	8.5	33.7	42.2
GCST90199634	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199634/harmonised/GCST90199634.h.tsv.gz	404042085	15046345	67470	0.004484	0	5	67305	165	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199634_GCST90199634.filtered.tsv.gz	1722445	sha256	a75b1854ca03701c9e014ac40fee4414de26a05b11c3d82e54cf249f193e67c8	8	35.3	43.3
GCST90199635	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199635/harmonised/GCST90199635.h.tsv.gz	403479203	15036452	23887	0.001589	0	2	23744	143	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199635_GCST90199635.filtered.tsv.gz	614681	sha256	de09d2561b5c2cb53f4d842382276cd1f25b8c86e8ffd2d65300ce6804058b15	14.6	35.9	50.5
GCST90199636	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199636/harmonised/GCST90199636.h.tsv.gz	404297022	15049471	53230	0.003537	0	4	53166	64	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199636_GCST90199636.filtered.tsv.gz	1370785	sha256	21140a8f9931a7f4812c3186eafcee3f107f1b93a3131868057b5677b0da5104	19.7	38.1	57.7
GCST90199637	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199637/harmonised/GCST90199637.h.tsv.gz	403151609	15033923	44958	0.00299	0	4	44889	69	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199637_GCST90199637.filtered.tsv.gz	1135600	sha256	8e61fa8820e85049e3dfdbf69411e923485dee6ae493448a291c0e20580b6310	9.1	35.6	44.8
GCST90199638	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199638/harmonised/GCST90199638.h.tsv.gz	404124644	15047309	29364	0.001951	0	2	29275	89	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199638_GCST90199638.filtered.tsv.gz	753465	sha256	134e64013504787a0a64eae2db891ea1478d93da2c40e020598f572ee455642c	14.1	35	49.1
